"","compustats_tic","crsp_tic"
"257","LLY","LLY"
"258","LB","LTD"
"259","LINB","LINB"
"260","LNC","LNC"
"261","LIT.1","LIT"
"262","KATE","LIZC"
"263","LMT","LK"
"264","LCE","LCE"
"265","LDG","LDG"
"266","LOR.2","LOR"
"267","LOTS.","LOTS"
"268","LLX.","LLX"
"269","LPX","LPX"
"270","LOW","LOW"
"271","LUB","LUB"
"272","MAI.1","MAI"
"273","MCA.1","MCA"
"274","MCIC.","MCIC"
"275","MNR.1","MNR"
"276","MHC.1","MHC"
"277","HST","MHS"
"278","MMC","MMC"
"279","ML.3","ML"
"280","MAS","MAS"
"281","VAT","VAT"
"282","MAT","MAT"
"283","MAY.2","MA"
"284","MYG.1","MYG"
"285","MDR","MDR"
"286","MCD","MCD"
"287","MD.1","MD"
"288","SPGI","MHP"
"289","MCK","MCK"
"290","MEA.1","MEA"
"291","MDT","MDT"
"292","MEL.3","MEL"
"293","CVS","MES"
"294","MST.","MST"
"295","MRK","MRK"
"296","MDP","MDP"
"297","BAC2","MER"
"298","ETR","ETR"
"299","MIL.2","MIL"
"300","MMM","MMM"
"301","MOB.2","MOB"
"302","GWOW","MMO"
"303","PHA.1","MTC"
"304","MWI","MCL"
"305","JPM.Z","JPM"
"306","MSI","MOT"
"307","BAC","NCB"
"308","NCR","NCR"
"309","FCN.1","NBD"
"310","NL","NL"
"311","CUE.1","CUE"
"312","NEC","NEC"
"313","AVATQ","NII"
"314","THC","NME"
"315","NSM.2","NSM"
"316","NSI.1","NSI"
"317","NYT","NYT"
"318","NWL","NWL"
"319","NEM","NEM"
"320","NMK","NMK"
"321","GAS.2","GAS"
"322","NKE","NIKE"
"323","JWN","NOBE"
"324","NSC","NSC"
"325","NC","NC"
"326","XEL","NSP"
"327","NRTLQ","NT"
"328","NOC","NOC"
"329","NRT.3","NRT"
"330","WFC","NOB"
"331","NUE","NUE"
"332","NYN","NYN"
"333","OXY","OXY"
"334","CVGYQ","OG"
"335","FE","OEC"
"336","OKE","OKE"
"337","GOSHA","GOSHA"
"338","9975B","OM"
"339","OC","OCF"
"340","PNC","PNC"
"341","PPG","PPG"
"342","PCAR","PCAR"
"343","PCG","PCG"
"344","SRE","PET"
"345","PAC.2","PAC"
"346","MEC2","PPW"
"347","PLL.1","PLL"
"348","3PNAA.","PN"
"349","PEL.1","PEL"
"350","PH","PH"
"351","JCP","JCP"
"352","PZE.1","PZL"
"353","PGL.1","PGL"
"354","PEP","PEP"
"355","ABI.3","PKN"
"356","PFE","PFE"
"357","PD.1","PD"
"358","C2","SB"
"359","EXC","PE"
"360","MO","MO"
"361","PHL.1","PHL"
"362","COP","P"
"363","PBI","PBI"
"364","PDG","PDG"
"365","PRDCQ","PRD"
"366","PCH","PCH"
"367","PCLB.1","PCLB"
"368","PDQ.2","PDQ"
"369","PG","PG"
"370","CIN2","PIN"
"371","PEG","PEG"
"372","PHM","PHM"
"373","OAT.","OAT"
"374","RACM.CM","RAL"
"375","RYC.","RYC"
"376","RTN","RTN"
"377","RBK","RBK"
"378","RLM.1","RLM"
"379","RAD","RAD"
"380","CBB.1","ROAD"
"381","ROK","ROK"
"382","ROH","ROH"
"383","SKLNQ","REN"
"384","RDC","RDC"
"385","RDPL","RD"
"386","RBD","RBD"
"387","RML.1","RML"
"388","RYAN","RYAN"
"389","R","R"
"390","SAF.3","SAFC"
"391","SK.1","SK"
"392","STJ","STJM"
"393","SPC.2","STPL"
"394","SFX.2","SFX"
"395","HSH","SLE"
"396","SGP","SGP"
"397","SLB","SLB"
"398","SFA.1","SFA"
"399","SPP.3","SPP"
"400","VO.3","VO"
"401","SPW.2","SPW"
"402","S.1","S"
"403","7448B","SPC"
"404","SCI","SRV"
"405","SMS.2","SMED"
"406","SHW","SHW"
"407","3SHOY","SHN"
"408","SKY.1","SKY"
"409","SNA","SNA"
"410","SNT.1","SNT"
"411","EIX","SCE"
"412","SO","SO"
"413","T","SBC"
"414","CVN.3","SOV"
"415","SMI.1","SMI"
"416","SQD.1","SQD"
"417","SWK","SWK"
"418","STO.3","STO"
"419","SRR","SRR"
