"","compustats_tic","crsp_tic"
"1107","IRM","IRM"
"1108","HRL","HRL"
"1109","DO","DO"
"1110","VTR","VTR"
"1111","ES","NU"
"1112","DNR","DNR"
"1113","ORLY","ORLY"
"1114","TWC","TWC"
"1115","FTI.1","FTI"
"1116","ATGE","DV"
"1117","WDC","WDC"
"1118","PWR","PWR"
"1119","PCS","PCS"
"1120","RHT","RHT"
"1121","WM","WM"
"1122","ARG","ARG"
"1123","CFN","CFN"
"1124","FSLR","FSLR"
"1125","BKNG","PCLN"
"1126","CLF","CLF"
"1127","AON","AON"
"1128","ROST","ROST"
"1129","ROP","ROP"
"1130","LDOS","SAI"
"1131","V","V"
"1132","MJN","MJN"
"1133","NRG","NRG"
"1134","BRK.B","BRK"
"1135","URBN","URBN"
"1136","DISCA","DISCA"
"1137","CERN","CERN"
"1138","NEE","NEE"
"1139","KMX","KMX"
"1140","QEP","QEP"
"1141","ATUS","CVC"
"1142","NFX","NFX"
"1143","FFIV","FFIV"
"1144","NFLX","NFLX"
"1145","MSI","MSI"
"1146","MMI.3","MMI"
"1147","JOY","JOYG"
"1148","BLK","BLK"
"1149","EW","EW"
"1150","CMG","CMG"
"1151","WFM","WFM"
"1152","ANRZQ","ANR"
"1153","MPC",""
"1154","ACN","ACN"
"1155","MPC","MPC"
"1156","MOS","MOS"
"1157","BEAM.2","BEAM"
"1158","XYL","XYL"
"1159","SO7","GAS"
"1160","JOY","JOY"
"1161","EA","EA"
"1162","PRGO","PRGO"
"1163","BWA","BWA"
"1164","DLTR","DLTR"
"1165","VIAB","VIAB"
"1166","TRIP","TRIP"
"1167","WPX","WPX"
"1168","FOSL","FOSL"
"1169","CCI","CCI"
"1170","LRCX","LRCX"
"1171","ALXN","ALXN"
"1172","PSX","PSX"
"1173","HSH","HSH"
"1174","MNST","MNST"
"1175","STX","STX"
"1176","LYB","LYB"
"1177","PNR","PNR"
"1178","PETM","PETM"
"1179","KRFT","KRFT"
"1180","ADT.4","ADT"
"1181","MDLZ","MDLZ"
"1182","APTV","DLPH"
"1183","GRMN","GRMN"
"1184","ABBV","ABBV"
"1185","AGN","ACT"
"1186","PVH","PVH"
"1187","REGN","REGN"
"1188","SPGI","MHFI"
"1189","MAC","MAC"
"1190","ZTS","ZTS"
"1191","TFCFA","FOXA"
"1192","NWSA","NWSA"
"1193","NLSN","NLSN"
"1194","AME","AME"
"1195","VRTX","VRTX"
"1196","LDOS","LDOS"
"1197","GHC","GHC"
"1198","CPRI","KORS"
"1199","LB","LB"
"1200","MHK","MHK"
"1201","ADS","ADS"
"1202","FB","FB"
"1203","ALLE","ALLE"
"1204","TSCO","TSCO"
"1205","KDP","GMCR"
"1206","ESS","ESS"
"1207","GOOGL",""
"1208","UAA","UA"
"1209","NAVI","NAVI"
"1210","AVGO","AVGO"
"1211","MLM","MLM"
"1212","AMG","AMG"
"1213","XEC","XEC"
"1214","MNK","MNK"
"1215","UHS","UHS"
"1216","URI","URI"
"1217","LVLT","LVLT"
"1218","RCL","RCL"
"1219","WBA","WBA"
"1220","ANTM","ANTM"
"1221","ENDP","ENDP"
"1222","ES","ES"
"1223","AAL","AAL"
"1224","SWKS","SWKS"
"1225","HSIC","HSIC"
"1226","SLG","SLG"
"1227","EQIX","EQIX"
"1228","HBI","HBI"
"1229","O","O"
"1230","TGNA","TGNA"
"1231","JBHT","JBHT"
"1232","AGN","AGN"
"1233","WRK","RKT"
"1234","QRVO","QRVO"
"1235","ZBH","ZBH"
"1236","KHC","KHC"
"1237","SIG","SIG"
"1238","BXLT","BXLT"
"1239","CPGX","CPGX"
"1240","PYPL","PYPL"
"1241","WRK","WRK"
"1242","AAP","AAP"
"1243","ATVI","ATVI"
"1244","VRSK","VRSK"
"1245","SYF","SYF"
"1246","HPE","HPE"
"1247","CSRA","CSRA"
"1248","FCPT","FCPT"
"1249","ILMN","ILMN"
"1250","CHD","CHD"
"1251","WLTW","WSH"
"1252","FRT","FRT"
"1253","CFG","CFG"
"1254","CB","CB"
"1255","WLTW","WLTW"
"1256","EXR","EXR"
"1257","CXO","CXO"
"1258","AWK","AWK"
"1259","UDR","UDR"
"1260","FL","FL"
"1261","HOLX","HOLX"
"1262","CNC","CNC"
"1263","UAA",""
"1264","SPGI","SPGI"
"1265","GPN","GPN"
"1266","AYI","AYI"
"1267","ULTA","ULTA"
"1268","ALK","ALK"
"1269","AJG","AJG"
"1270","NGVT","NGVT"
"1271","TDG","TDG"
"1272","LKQ","LKQ"
"1273","DLR","DLR"
"1274","LNT","LNT"
"1275","ALB","ALB"
"1276","FBHS","FBHS"
"1277","FTV","FTV"
"1278","COO","COO"
"1279","COTY","COTY"
"1280","MTD","MTD"
"1281","CHTR","CHTR"
"1282","ADNT","ADNT"
"1283","AA","AA"
"1284","QCP","QCP"
"1285","ARNC","ARNC"
"1286","YUMC","YUMC"
"1287","LW","LW"
"1288","MAA","MAA"
"1289","EVHC","AMSG"
"1290","IDXX","IDXX"
"1291","EVHC","EVHC"
"1292","VREX","VREX"
"1293","FTI","FTI"
"1294","REG","REG"
"1295","INCY","INCY"
"1296","BIVV","BIVV"
"1297","CBOE","CBOE"
"1298","RJF","RJF"
"1299","IT","IT"
"1300","SNPS","SNPS"
"1301","DISH","DISH"
"1302","ARE","ARE"
"1303","DXC","DXC"
"1304","INFO","INFO"
"1305","CARS","CARS"
"1306","RE","RE"
"1307","AABA","AABA"
"1308","ANSS","ANSS"
"1309","ALGN","ALGN"
"1310","AOS","AOS"
"1311","DRE","DRE"
"1312","MGM","MGM"
"1313","RMD","RMD"
"1314","BKR","BHGE"
"1315","JBGS","JBGS"
"1316","PKG","PKG"
"1317","ANDV","ANDV"
"1318","IQV","Q"
"1319","BHF","BHF"
"1320","SBAC","SBAC"
"1321","DD","DWDP"
"1322","CDNS","CDNS"
"1323","NCLH","NCLH"
"1324","TPR","TPR"
"1325","IQV","IQV"
"1326","APTV","APTV"
"1327","HII","HII"
"1328","BKNG","BKNG"
"1329","SIVB","SIVB"
"1330","NKTR","NKTR"
"1331","TTWO","TTWO"
"1332","IPGP","IPGP"
"1333","MSCI","MSCI"
"1334","CBRE","CBRE"
"1335","EVRG","WR"
"1336","JEF","JEF"
"1337","ABMD","ABMD"
"1338","APY","APY"
"1339","HFC","HFC"
"1340","EVRG","EVRG"
"1341","TWTR","TWTR"
"1342","CPRT","CPRT"
"1343","PRSP","PRSP"
"1344","BR","BR"
"1345","FLT","FLT"
"1346","ANET","ANET"
"1347","ROL","ROL"
"1348","WCG","WCG"
"1349","LIN","LIN"
"1350","FTNT","FTNT"
"1351","JKHY","JKHY"
"1352","KEYS","KEYS"
"1353","FANG","FANG"
"1354","FRC","FRC"
"1355","CE","CE"
